"All crash data available using this tool represents reportable data collected from Texas Peace Officer's Crash Reports (CR-3) received and processed by the Texas Department of Transportation (Department) as of 08/13/2025. The Department makes no warranty, representation or guaranty as to the content, accuracy, timeliness or completeness of any of the information provided as a result of your query. Any opinions and conclusions resulting from analysis performed on the crash data must be represented as your own and not those of the State of Texas or the Department. "

"Query Result Counts:"
"Your query returned a total of 5,274 Crashes containing 6,155 Units and 7,273 Persons"

"Filters Applied to current Query:"
"Crash Date Is Between  2024-11-05 08:25 and 2025-02-04 22:57"
"County Is In DALLAS or TARRANT or ELLIS or KAUFMAN or ROCKWALL or DENTON or COLLIN or JOHNSON"
"First Harmful Event Is In ANIMAL or OTHER OBJECT or FIXED OBJECT"


"Crash ID","County","Crash Date","Crash Time","First Harmful Event","Highway Number","Latitude","Longitude","Manner of Collision","Street Name","Surface Condition"
"20497150","COLLIN","2024-11-07","1304","FIXED OBJECT","No Data","33.0435342","-96.64751259","ONE MOTOR VEHICLE - GOING STRAIGHT","LOS RIOS BLVD","1 - DRY"
"20497316","TARRANT","2024-11-07","0120","FIXED OBJECT","0170","32.96604913","-97.29353019","ONE MOTOR VEHICLE - GOING STRAIGHT","SH0170","1 - DRY"
"20497461","TARRANT","2024-11-07","0427","FIXED OBJECT","0287","32.73943028","-97.30064464","ONE MOTOR VEHICLE - GOING STRAIGHT","US0287","1 - DRY"
"20497717","DALLAS","2024-11-07","1210","FIXED OBJECT","0035","32.92149861","-96.89962833","ONE MOTOR VEHICLE - GOING STRAIGHT","IH0035E","2 - WET"
"20498253","TARRANT","2024-11-07","1721","FIXED OBJECT","0157","32.73858123","-97.11455183","ONE MOTOR VEHICLE - GOING STRAIGHT","FM0157","1 - DRY"
"20498275","TARRANT","2024-11-07","2000","FIXED OBJECT","0287","32.66761666","-97.2048289","ONE MOTOR VEHICLE - GOING STRAIGHT","US0287","2 - WET"
"20498360","DENTON","2024-11-07","1805","FIXED OBJECT","0428","33.28177082","-96.88321321","ONE MOTOR VEHICLE - GOING STRAIGHT","FM0428","1 - DRY"
"20499488","TARRANT","2024-11-07","1109","FIXED OBJECT","No Data","No Data","No Data","ONE MOTOR VEHICLE - GOING STRAIGHT","DENTON HWY","3 - STANDING WATER"
"20500193","JOHNSON","2024-11-07","0600","FIXED OBJECT","No Data","32.52339581","-97.4610143","ONE MOTOR VEHICLE - GOING STRAIGHT","SKY RD","2 - WET"
"20500698","DALLAS","2024-11-07","1301","FIXED OBJECT","0635","32.92419612","-96.76459859","ONE MOTOR VEHICLE - GOING STRAIGHT","IH0635","1 - DRY"
"20501019","DALLAS","2024-11-07","0253","FIXED OBJECT","0075","32.81674824","-96.78869474","ONE MOTOR VEHICLE - GOING STRAIGHT","US0075","1 - DRY"
"20501869","DALLAS","2024-11-07","1151","FIXED OBJECT","No Data","32.80061597","-97.02596052","ONE MOTOR VEHICLE - TURNING RIGHT","W TRINITY BLVD","1 - DRY"
"20502514","COLLIN","2024-11-07","2253","FIXED OBJECT","No Data","33.33828371","-96.405165","ONE MOTOR VEHICLE - GOING STRAIGHT","CR0578","2 - WET"
"20503016","DALLAS","2024-11-07","2235","FIXED OBJECT","No Data","32.71210978","-96.6013474","ONE MOTOR VEHICLE - GOING STRAIGHT","SPRING OAKS DR","1 - DRY"
"20505993","DALLAS","2024-11-07","1649","FIXED OBJECT","No Data","32.77124425","-96.75641258","ONE MOTOR VEHICLE - TURNING RIGHT","CARL ST","1 - DRY"
"20510476","ELLIS","2024-11-07","1750","OTHER OBJECT","0045","32.45611633","-96.66364662","ONE MOTOR VEHICLE - GOING STRAIGHT","IH0045","1 - DRY"
"20515289","DALLAS","2024-11-07","0840","FIXED OBJECT","No Data","32.65837602","-96.7671499","ONE MOTOR VEHICLE - GOING STRAIGHT","TIOGA ST","1 - DRY"
"20521826","KAUFMAN","2024-11-07","2130","FIXED OBJECT","0741","32.6687686","-96.44744024","ONE MOTOR VEHICLE - GOING STRAIGHT","FM0741","1 - DRY"
"20523074","DALLAS","2024-11-07","0028","OTHER OBJECT","No Data","32.71495248","-96.79751128","ONE MOTOR VEHICLE - GOING STRAIGHT","SUTTER ST","1 - DRY"
